chamber,session,roll call,member,vote
House,1,85,B001282,No
House,1,85,B001300,Yes
House,1,85,B001270,Yes
House,1,85,B001281,Yes
House,1,85,B001287,Yes
House,1,85,B001301,No
House,1,85,B001292,Yes
House,1,85,B001302,No
House,1,85,B001257,No
House,1,85,B000490,Yes
House,1,85,B001250,No
House,1,85,B000574,Yes
House,1,85,B001303,Yes
House,1,85,B001278,Yes
House,1,85,B001295,No
House,1,85,B001296,Yes
House,1,85,B000755,No
House,1,85,B001308,Yes
House,1,85,B001274,No
House,1,85,B001284,No
House,1,85,B001304,Yes
House,1,85,B001285,Yes
House,1,85,B001260,No
House,1,85,B001297,No
House,1,85,B001275,No
House,1,85,B001305,No
House,1,85,B001309,No
House,1,85,B001248,No
House,1,85,B001286,Yes
House,1,85,B001251,Yes
House,1,85,B001289,No
House,1,85,C000059,No
House,1,85,C001112,Yes
House,1,85,C001097,Not Voting
House,1,85,C001072,Yes
House,1,85,C001103,No
House,1,85,C001051,No
House,1,85,C001090,Yes
House,1,85,C001055,Yes
House,1,85,C001117,Yes
House,1,85,C001066,Yes
House,1,85,C001091,Yes
House,1,85,C000266,No
House,1,85,C001109,No
House,1,85,C001080,Yes
House,1,85,C001084,Yes
House,1,85,C001123,Yes
House,1,85,C001101,Yes
House,1,85,C001067,Yes
House,1,85,C001049,Yes
House,1,85,C001061,Yes
House,1,85,C001118,No
House,1,85,C001115,No
House,1,85,C000537,Yes
House,1,85,C001068,Yes
House,1,85,C001053,No
House,1,85,C001093,No
House,1,85,C001092,No
House,1,85,C001108,No
House,1,85,C001062,No
House,1,85,C001078,Yes
House,1,85,C001094,No
House,1,85,C000754,Yes
House,1,85,C001110,Yes
House,1,85,C001059,Yes
House,1,85,C001069,Yes
House,1,85,C001124,Yes
House,1,85,C001119,Yes
House,1,85,C001087,No
House,1,85,C001120,No
House,1,85,C001111,Yes
House,1,85,C001121,Yes
House,1,85,C001063,Yes
House,1,85,C000984,Yes
House,1,85,C001122,Yes
House,1,85,C001114,No
House,1,85,D000629,Yes
House,1,85,D000626,No
House,1,85,D000598,Yes
House,1,85,D000096,Yes
House,1,85,D000619,No
House,1,85,D000631,Yes
House,1,85,D000191,Yes
House,1,85,D000197,Yes
House,1,85,D000216,Yes
House,1,85,D000617,Yes
House,1,85,D000630,Yes
House,1,85,D000627,Yes
House,1,85,D000623,Yes
House,1,85,D000616,No
House,1,85,D000610,Not Voting
House,1,85,D000600,No
House,1,85,D000624,Yes
House,1,85,D000399,Yes
House,1,85,D000482,Yes
House,1,85,D000614,No
House,1,85,D000615,No
House,1,85,D000628,No
House,1,85,E000294,No
House,1,85,E000179,Not Voting
House,1,85,E000299,Yes
House,1,85,E000215,Yes
House,1,85,E000297,Yes
House,1,85,E000298,No
House,1,85,E000296,Yes
House,1,85,F000465,No
House,1,85,F000467,Yes
House,1,85,F000466,No
House,1,85,F000459,No
House,1,85,F000468,Yes
House,1,85,F000461,No
House,1,85,F000449,No
House,1,85,F000454,Yes
House,1,85,F000450,No
House,1,85,F000462,Yes
House,1,85,F000455,Yes
House,1,85,F000469,No
House,1,85,G000571,Yes
House,1,85,G000578,No
House,1,85,G000579,No
House,1,85,G000574,Yes
House,1,85,G000559,Yes
House,1,85,G000586,Yes
House,1,85,G000587,Yes
House,1,85,G000584,No
House,1,85,G000563,No
House,1,85,G000552,No
House,1,85,G000592,Yes
House,1,85,G000585,Yes
House,1,85,G000588,No
House,1,85,G000581,Yes
House,1,85,G000589,No
House,1,85,G000565,No
House,1,85,G000583,Yes
House,1,85,G000377,No
House,1,85,G000560,No
House,1,85,G000577,No
House,1,85,G000546,No
House,1,85,G000590,No
House,1,85,G000553,Yes
House,1,85,G000568,No
House,1,85,G000551,Yes
House,1,85,G000576,No
House,1,85,G000591,No
House,1,85,G000558,No
House,1,85,H001080,Yes
House,1,85,H001088,No
House,1,85,H001090,Yes
House,1,85,H001052,No
House,1,85,H001053,No
House,1,85,H000324,Yes
House,1,85,H001081,Yes
House,1,85,H001064,Yes
House,1,85,H001082,No
House,1,85,H001056,No
House,1,85,H001071,No
House,1,85,H001077,No
House,1,85,H001038,Yes
House,1,85,H001072,No
House,1,85,H001087,Yes
House,1,85,H001047,Yes
House,1,85,H001065,No
House,1,85,H001074,No
House,1,85,H001083,Yes
House,1,85,H001066,Yes
House,1,85,H001085,Yes
House,1,85,H000874,Yes
House,1,85,H001067,No
House,1,85,H001068,Yes
House,1,85,H001058,No
